400 +- 30 x 31,300 +- 30 x 31,150 +- 30 x 31,120 +- 35 x 31,81 +- 10 x 10,70 +- 10 x 10,40 +- 10 x 10,100 +- 10 x 10,350 +- 20 x 30,300 +- 20 x 30,150 +- 20 x 30,120 +- 35 x 30,101 +- 10 x 10,82 +- 10 x 10,41 +- 10 x 10,120 +- 10 x 10,250 +- 30 x 31,200 +- 30 x 31,100 +- 30 x 31,80 +- 35 x 31,150 +- 10 x 10,80 +- 10 x 10,180 +- 10 x 10,200 +- 20 x 31,150 +- 20 x 31,100 +- 20 x 31,70 +- 20 x 31,200 +- 20 x 10,150 +- 20 x 10,120 +- 20 x 10,230 +- 20 x 10,60 +- 12 x 124,40 +- 12 x 31
397,316,128,146,86,62,40,102,359,303,137,115,110,73,42,130,236,198,114,69,152,86,170,195,160,100,84,201,136,101,230,62,28
405,278,136,99,73,61,45,104,338,280,170,98,99,82,47,112,261,209,70,86,158,79,178,208,134,109,50,189,150,124,248,63,46
428,326,176,112,88,79,30,97,349,286,132,95,93,92,34,114,280,171,107,71,149,85,173,209,159,113,54,210,151,126,218,58,30
404,311,179,154,77,71,41,108,348,302,170,155,109,88,32,112,220,225,88,64,143,84,190,196,157,91,80,214,150,104,238,71,48
400,273,153,102,83,65,46,105,334,306,134,135,98,88,47,110,239,230,74,53,143,74,183,190,142,100,72,182,148,102,244,72,31
384,276,153,153,71,71,45,96,369,305,144,110,108,76,41,117,256,185,88,97,140,85,174,185,140,116,69,220,163,125,234,65,34
404,287,137,85,72,72,45,106,330,290,139,101,111,91,47,120,265,209,79,108,147,75,186,181,160,98,77,213,163,133,228,72,40
424,311,138,102,83,76,49,102,357,285,163,136,94,91,43,118,251,218,108,108,140,89,180,189,165,90,63,197,153,119,212,63,39
412,309,169,149,78,64,31,99,332,293,135,121,102,88,31,119,250,201,83,109,144,71,182,198,141,81,53,186,157,127,246,57,48
426,296,136,152,91,72,30,101,348,314,143,86,106,92,49,127,277,223,80,111,146,79,190,218,165,117,75,197,169,102,248,52,48
388,289,160,137,0,0,0,0,369,308,156,119,0,0,0,0,270,195,73,68,0,0,0,218,132,104,77,0,0,0,0,61,44
406,279,144,98,0,0,0,0,343,289,162,87,0,0,0,0,229,214,123,57,0,0,0,195,163,81,57,0,0,0,0,71,38
389,289,151,130,0,0,0,0,340,310,130,129,0,0,0,0,265,195,94,65,0,0,0,193,167,114,66,0,0,0,0,50,52
395,315,130,132,0,0,0,0,338,291,135,140,0,0,0,0,258,207,94,70,0,0,0,197,142,100,64,0,0,0,0,57,37
386,278,171,116,0,0,0,0,333,295,134,123,0,0,0,0,230,189,130,63,0,0,0,193,138,96,65,0,0,0,0,56,50
411,298,140,151,0,0,0,0,334,301,166,152,0,0,0,0,235,207,128,87,0,0,0,191,170,104,79,0,0,0,0,52,34
419,297,121,101,0,0,0,0,369,316,160,141,0,0,0,0,229,176,112,52,0,0,0,196,153,109,88,0,0,0,0,50,29
387,311,177,149,0,0,0,0,350,306,139,99,0,0,0,0,250,210,87,67,0,0,0,205,135,113,79,0,0,0,0,71,50
430,296,133,90,0,0,0,0,330,294,161,148,0,0,0,0,222,218,107,75,0,0,0,196,156,110,79,0,0,0,0,60,50
402,291,169,134,0,0,0,0,370,282,133,93,0,0,0,0,269,214,114,58,0,0,0,195,159,107,85,0,0,0,0,65,46
391,309,176,104,0,0,0,0,336,311,160,143,0,0,0,0,231,180,125,58,0,0,0,190,150,89,60,0,0,0,0,55,44
376,314,156,105,0,0,0,0,355,297,154,152,0,0,0,0,225,216,120,82,0,0,0,191,145,116,76,0,0,0,0,57,43
374,293,125,93,0,0,0,0,348,284,148,86,0,0,0,0,228,228,84,60,0,0,0,215,145,90,51,0,0,0,0,57,30
417,311,132,102,0,0,0,0,331,301,159,130,0,0,0,0,255,213,126,62,0,0,0,216,164,114,54,0,0,0,0,67,29
413,271,164,112,0,0,0,0,363,314,166,152,0,0,0,0,229,205,77,45,0,0,0,183,141,116,76,0,0,0,0,64,43
413,324,166,118,0,0,0,0,344,294,162,144,0,0,0,0,230,196,93,108,0,0,0,191,133,93,81,0,0,0,0,49,39
393,295,131,88,0,0,0,0,342,310,149,108,0,0,0,0,253,172,94,102,0,0,0,185,130,91,90,0,0,0,0,67,34
398,330,120,123,0,0,0,0,342,292,132,134,0,0,0,0,239,177,125,99,0,0,0,205,132,114,72,0,0,0,0,71,37
392,312,140,131,0,0,0,0,354,283,146,119,0,0,0,0,237,208,90,72,0,0,0,183,154,94,60,0,0,0,0,71,51
398,303,148,85,0,0,0,0,349,282,157,131,0,0,0,0,242,189,70,91,0,0,0,192,150,112,69,0,0,0,0,65,37
420,280,154,116,0,0,0,0,0,0,0,0,0,0,0,0,236,197,71,60,0,0,0,219,152,109,62,0,0,0,0,70,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
